id_bien,no_voie,type_voie,voie,b_t_q,type_bien,nb_piece,surface,id_commune
15946,37,RUE,DE VILLIERS,T,Appartement,3,72,92051
15947,59,RUE,DE LA FRATERNITE,,Appartement,1,18,93048
15948,103,BD,DU MARECHAL FOCH,,Appartement,1,17,93051
15949,14,AV,DU PROFESSEUR CADIOT,,Appartement,4,80,94046
15950,23,BD,GALLIENI,,Appartement,3,63,94052
15951,78,AV,PIERRE BROSSOLETTE,,Appartement,2,46,94058
15952,7,RUE,DE L EPINETTE,,Appartement,3,50,94067
15953,1,VLA,MONTGOLFIER,,Appartement,2,36,94069
15954,5,RUE,DE MONTALEAU,,Appartement,3,60,94071
15955,3,RUE,DE CERCAY,,Appartement,1,20,94075
15956,1,RUE,GUSTAVE CAILLEBOTTE,,Appartement,1,40,95018
15957,,RES,LES ESTUDOMS,,Appartement,2,35,973302
15958,22,BD,MARECHAL JOFFRE,,Appartement,2,60,06011
15959,28,RUE,PLANE,,Appartement,1,45,06015
15960,13,AV,DES ORANGERS,,Appartement,2,43,06027
15961,77,AV,DE GRASSE,,Appartement,3,65,06027
15962,46,PROM,VAL DU CAREI,,Appartement,2,50,06083
15963,245,RTE,DE BELLET,,Maison,4,84,06088
15964,14,RUE,DES PONCHETTES,,Maison,4,72,06088
15965,210,AV,PASTEUR,,Appartement,1,28,06104
15966,242,AV,ARISTIDE BRIAND,,Appartement,1,36,06104
15967,366,RTE,DE DRAGUIGNAN,,Appartement,4,105,06118
15968,9001,HAM,DU SOLEIL GR EUCALYPTUS,,Maison,3,63,06161
15969,10,AV,GEORGES CORNEAU,,Appartement,2,46,08105
15970,3,RES,LA GRANDE VOILE,,Appartement,2,31,11170
15971,36,AV,AYGUADES DE PECH ROUGE,,Appartement,2,37,11170
15972,97,RUE,ANTOINE FUET,,Appartement,2,41,11266
15973,12,AV,DE L ABBE CABROL,,Appartement,4,88,13022
15974,9009,VC,CLOS BEAUCHAMP,,Maison,5,139,13028
15975,40,BD,DE SAINTE MARGUERITE,,Appartement,2,45,13209
15976,5,RUE,HENRY MILLET,,Appartement,2,31,14079
15977,41,RUE,DE LA CHAUSSEE,,Appartement,7,99,14333
15978,11,RUE,DU CHANCELIER,,Appartement,1,20,14715
15979,9006,VC,RES SUPER DEAUVILLE,,Appartement,1,23,14754
15980,10,RUE,PASTEUR,,Appartement,3,65,17094
15981,7,RUE,FRANCK LAPEYRE,,Appartement,1,24,17300
15982,96,AV,FRANCOIS MITTERRAND,B,Appartement,2,39,18033
15983,6,CHE,DU GRAND MAZIERES,,Appartement,1,27,18033
15984,12,PL,DE LA REPUBLIQUE,,Appartement,3,80,22222
15985,1,RUE,CHAUVEAU LAGARDE,,Appartement,2,61,28085
15986,7,RUE,DE LA COURONNE,,Appartement,3,94,28085
15987,4,IMP,DES PETITS SAULTS,,Maison,1,55,28173
15988,6,,PARC DE LANN ROHOU,,Maison,6,109,29045
15989,5023,,COTI,,Appartement,3,50,2A098
15990,299,AV,DU PALAIS DE LA MER,A,Appartement,1,13,30133
15991,1,AV,JEAN LASSERRE,,Appartement,1,22,30133
15992,270,AV,DES COQUILLAGES,,Appartement,3,42,30133
15993,2,RTE,DES MARINES,,Appartement,1,18,30133
15994,11,RUE,DES BENEDICTINS,,Appartement,3,73,30189
15995,5869,RTE,DE LOGRIAN,,Appartement,3,46,30311
15996,1,RUE,THIERS,,Appartement,2,49,33019
15997,31,RUE,GASPARD PHILIPPE,,Appartement,3,54,33063
15998,9057,HAM,DE BOURBON,,Appartement,5,107,33167
15999,9001,RES,SAINT JACQUES,,Appartement,3,68,33192
16000,9,ALL,DES TULIPES,,Appartement,3,68,33318
16001,20,RUE,DES GORGES D HERIC,,Appartement,2,53,34032
16002,64,RUE,ALEXANDRA DAVID-NEEL,,Appartement,2,42,34217
16003,15,RUE,GRAND RUE MARIO ROUSTAN,,Appartement,1,58,34301
16004,29,BD,JOLIOT CURIE,,Appartement,2,26,34301
16005,23,AV,DE MARVILLE,,Appartement,4,85,35288
16006,112,AV,DE LA MUZELLE DE VENOSC,,Appartement,1,26,38253
16007,68,AV,DU MARECHAL MAUNOURY,,Appartement,2,39,41018
16008,1,BD,VAUBAN,,Appartement,2,33,41018
16009,1,RUE,EDOUARD VAILLANT,,Appartement,1,17,42218
16010,13,AV,DES AMANDINES,,Appartement,1,49,44109
16011,14,IMP,PHILIBERT,T,Appartement,1,30,44109
16012,1,BD,ALBERT EINSTEIN,,Appartement,1,20,44109
16013,23,RUE,DU MORVAN,,Maison,4,96,44190
16014,6,ALL,DES NARCISSES,,Appartement,4,80,45302
16015,16,RUE,DE LA TONNELLE,,Appartement,1,33,49328
16016,18,RUE,JEAN MOULIN,,Appartement,3,72,51230
16017,77,RUE,DU GENERAL PATTON,,Appartement,1,35,54300
16018,1,RUE,CLAUDE NOUGARO,,Appartement,2,42,56007
16019,86,AV,D ARVOR,,Appartement,2,29,56034
16020,2,RUE,GAMBETTA,,Appartement,3,50,59009
16021,81,AV,GUYNEMER,,Appartement,1,28,59378
16022,6,AV,DU CHANCELIER ADENAUER,,Appartement,2,53,59410
16023,44,RUE,SAINT JEAN,,Appartement,3,66,59512
16024,9,AV,JEAN MOULIN,,Appartement,2,44,60057
16025,5,RUE,DU PONT NEUF,,Appartement,0,13,61001
